106954,Kuopio Savilahti KYS,62.89553,27.64725
107026,Siilinjärvi Kuuslahti,63.12723,27.77178
107063,Varkaus Kommila terveyskeskus,62.32860,27.89000
107135,Siilinjärvi Vuorelantie,62.97529,27.70200
107147,Lohja Harjula,60.24903,24.06947
107148,Espoo Otaniemi Kehä I,60.18034,24.82224
107165,Helsinki Paloheinä,60.25004,24.93942
107166,Hyvinkää Kruununpuisto,60.61923,24.85786
107167,Kotka Metsäkulma,60.50219,26.97073
107168,Äänekoski Paloasema,62.60229,25.73985
107218,Keskusta,65.73354,24.56215
107268,Siilinjärvi Sulkavanniitty,63.08796,27.68636
107280,Tuusula Vaunukangas,60.40867,25.00150
107281,Vantaa Ylästö,60.27807,24.90711
107282,Lahti Mustamäenkatu,60.96271,25.64369
107284,Biotuotetehdas,65.75865,24.53986
107285,Kotka Ruukinkatu,60.46802,26.95146
107379,Ojala-Tuomela,61.03434,28.21241
107382,Varkaus Kommila,62.32910,27.88570
107392,Tommola,61.20010,26.04927
107393,Heinola Vierumäki,61.10756,25.93007
107399,Espoo Pohjois-Tapiola 2,60.18289,24.79345
107400,Järvenpää Helsingintie,60.46972,25.08735
107401,Jyväskylä Jyskä,62.24150,25.84150
107541,Kuopio Kurkimäki,62.78102,27.49677
107542,Siilinjärvi Ranta,63.11134,27.76019
107543,Lohja Moisio,60.25294,24.07861
107563,Lappeenranta Ihalainen 2,61.03879,28.17635
107569,Turku Kauppatori 2,60.45183,22.26783
778578,Rauma Sinisaari,61.12470,21.49343
