"fmisid","region","iso2","name","latitude","longitude"
104269,"Imatra","FI","Imatra Sairaala",61.2215881,28.8209095
103122,"Imatra","FI","Imatra Teppanala",61.1530418,28.8101406
103150,"Inkoo","FI","Inkoo Heimgård",60.0444794,23.9814796
103129,"Jämsä","FI","Jämsä Seppolantie",61.8652000,25.1973495
104026,"Jämsä","FI","Jämsä Yläaste",61.9243889,25.1642303
104038,"Suomi","FI","Järvenpää",60.4671402,25.0861797
107400,"Järvenpää","FI","Järvenpää Helsingintie",60.4697189,25.0873508
103154,"Järvenpää","FI","Järvenpää Helsingintie",60.4713211,25.0896702
103148,"Joensuu","FI","Joensuu Koskikatu 1",62.5990906,29.7633991
106796,"Jyväskylä","FI","Jyväskylä Hannikaisenkatu",62.2381706,25.7478809
107401,"Jyväskylä","FI","Jyväskylä Jyskä",62.2415009,25.8414993
104135,"Jyväskylä","FI","Jyväskylä Kortepohja",62.2490196,25.7045708
104267,"Jyväskylä","FI","Jyväskylä Kuokkala",62.2259598,25.7738209
104131,"Jyväskylä","FI","Jyväskylä Lyseo",62.2433701,25.7438698
103127,"Jyväskylä","FI","Jyväskylä Lyseo 2",62.2430496,25.7432098
104146,"Jyväskylä","FI","Jyväskylä Palokka",62.2886009,25.7439098
103128,"Jyväskylä","FI","Jyväskylä Palokka 2",62.2899094,25.7111397
104338,"Jyväskylä","FI","Jyväskylä Säynätsalo 2",62.1396294,25.7657108
104145,"Jyväskylä","FI","Jyväskylä Vaajakoski",62.2491188,25.8693905
104337,"Jyväskylä","FI","Jyväskylä Vaajakoski 2",62.2488289,25.8669109
100823,"Kaarina","FI","Kaarina Kaarina",60.4083099,22.3783493
103993,"Kaarina","FI","Kaarinan keskusta",60.4068718,22.3713608
778656,"Kajaani","FI","Kajaani Keskusta",64.2244415,27.7333298
104126,"Kajaani","FI","Kajaanin keskusta",64.2239990,27.7331505
104016,"Kajaani","FI","Kajaanin keskusta 2",64.2242889,27.7333908
104127,"Kajaani","FI","Kajaani Pöllyvaara",64.2351379,27.7281609
104243,"Suomi","FI","Kauniainen",60.2159882,24.7107697
104012,"Kauniainen","FI","Kauniainen 2",60.2097816,24.7319298
104075,"Kauniainen","FI","Kauniainen 4",60.2128906,24.7112598
105405,"Kauniainen","FI","Kauniainen Kauniaistentie",60.2095718,24.7299404
107284,"Kemi","FI","Biotuotetehdas",65.7586517,24.5398598
107218,"Kemi","FI","Keskusta",65.7335434,24.5621490
104292,"Suomi","FI","Keminmaa",65.8019104,24.5424099
104258,"Kemi","FI","Kemi Paattio",65.7687073,24.5460701
104356,"Kemi","FI","Kemi Paloasema",65.7425537,24.5891399
104257,"Kemi","FI","Kemi Takajärvi",65.7307281,24.6276608
106953,"Kirkkonummi","FI","Kirkkonummi keskusta",60.1302185,24.4263191
104320,"Kokkola","FI","Kokkola Halkokari 2",63.8561783,23.1262093
